RunId;Time;CP;VM;Label;Status;Value;Detail
20260919-050000;2026-09-19T05:00:04;CP00;-;Authentification VBR / API Proxmox / outils locaux (qm, qemu-img);OK;;VBR 1.3-rev2, pve-manager/9.0.6/8a3e4d2c (running kernel: 6.14.8-2-pve)
20260919-050000;2026-09-19T05:00:06;CP01;-;Nœud, bridge isolé, stockage overlay et identifiants Linux VBR présents;OK;;pve-node01 / vmbr1 / /var/lib/vz/images/rv-overlays / cred root
20260919-050000;2026-09-19T05:00:08;CP02;-;Bridge / VLAN isolé non routé;OK;;bridge vmbr1 tag 4000 : aucune IP, aucun uplink
20260919-050000;2026-09-19T05:00:10;CP03;-;Aucune VM hors périmètre sur le bridge / VLAN isolé;OK;;
20260919-050000;2026-09-19T05:00:12;CP04;-;Aucune VM de test ni publication de disques résiduelle;OK;;
20260919-050000;2026-09-19T05:00:16;CP10;SRV-AD01;Point de restauration trouvé;OK;;créé le 2026-09-18T22:14:07Z
20260919-050000;2026-09-19T05:00:18;CP11;SRV-AD01;Âge du point de restauration <= 30 h;OK;6.8;6.8 h
20260919-050000;2026-09-19T05:04:19;CP12;SRV-AD01;Publication des disques terminée;OK;;2 disque(s) : disk-0.raw, disk-1.raw
20260919-050000;2026-09-19T05:04:50;CP10;SRV-FILE01;Point de restauration trouvé;OK;;créé le 2026-09-18T22:41:52Z
20260919-050000;2026-09-19T05:04:52;CP11;SRV-FILE01;Âge du point de restauration <= 30 h;OK;6.4;6.4 h
20260919-050000;2026-09-19T05:08:53;CP12;SRV-FILE01;Publication des disques terminée;OK;;1 disque(s) : disk-0.raw
20260919-050000;2026-09-19T05:09:26;CP10;SRV-WEB01;Point de restauration trouvé;OK;;créé le 2026-09-17T22:10:33Z
20260919-050000;2026-09-19T05:09:28;CP11;SRV-WEB01;Âge du point de restauration <= 30 h;KO;31.0;31.0 h - RPO non tenu, vérifier le job de sauvegarde
20260919-050000;2026-09-19T05:13:29;CP12;SRV-WEB01;Publication des disques terminée;OK;;1 disque(s) : disk-0.raw
20260919-050000;2026-09-19T05:14:00;CP10;SRV-SQL01;Point de restauration trouvé;OK;;créé le 2026-09-18T23:05:18Z
20260919-050000;2026-09-19T05:14:02;CP11;SRV-SQL01;Âge du point de restauration <= 30 h;OK;6.1;6.1 h
20260919-050000;2026-09-19T05:18:03;CP12;SRV-SQL01;Publication des disques terminée;OK;;2 disque(s) : disk-0.raw, disk-1.raw
20260919-050000;2026-09-19T05:18:34;CP10;SRV-OLD01;Point de restauration trouvé;KO;;aucun point de restauration Proxmox VE pour ce nom
20260919-050000;2026-09-19T05:18:36;CP13;SRV-OLD01;Contrôle post-démarrage;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:18:38;CP20;SRV-OLD01;Contrôle post-démarrage;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:18:40;CP21;SRV-OLD01;Contrôle post-démarrage;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:18:42;CP22;SRV-OLD01;Contrôle post-démarrage;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:18:44;CP23;SRV-OLD01;Contrôle post-démarrage;SKIP;;pas de point de restauration
